ExtAdvert,IsHoliday,CompOutage,NewVisitor,Price,NumberSold
0,0,0,4,15,101
0,0,0,7,15,97
0,0,0,9,15,102
0,0,0,8,15,93
0,0,0,0,15,101
0,0,0,9,15,97
0,0,0,1,15,94
0,0,0,0,15,93
0,0,0,0,15,102
0,0,0,2,15,98
0,0,0,3,15,98
0,0,0,8,15,96
0,0,0,7,15,95
0,0,0,8,15,94
0,0,0,2,15,103
0,0,0,0,15,105
0,0,0,0,15,113
0,0,0,0,15,99
0,0,0,0,15,106
0,0,0,3,15,97
0,0,0,3,15,101
0,0,0,6,13,102
0,0,0,5,14,107
0,0,1,40,14,101
0,0,0,2,13,90
0,0,0,5,13,97
0,0,0,7,13,101
0,1,0,6,13,98
0,1,0,2,15,94
0,1,0,4,15,97
0,1,0,1,15,91
1,0,0,0,15,102
1,0,0,6,15,100
1,0,0,3,15,93
1,0,0,4,14,92
1,0,0,7,14,107
1,0,0,9,14,100
1,0,0,6,13,111
0,0,0,3,13,102
0,0,1,27,13,104
0,0,0,4,14,102
0,0,0,3,14,101
0,0,0,7,14,105
0,0,0,6,14,99
0,0,0,4,15,99
0,0,0,3,15,101
0,0,0,2,15,100
0,0,0,1,15,102
0,0,0,5,15,92
0,0,0,8,15,96
0,0,0,5,15,102
0,0,0,4,15,97
1,0,0,3,10,107
1,0,0,7,10,98
1,1,0,8,10,91
1,1,0,4,10,91
1,1,0,2,10,102
1,1,0,9,10,101
1,1,1,32,13,90
1,0,0,1,15,101
1,0,0,2,15,102
1,0,0,0,15,95
1,0,0,0,15,99
1,0,0,2,15,99
1,0,0,3,15,101
1,0,0,6,15,102
1,0,0,8,15,108
1,0,0,4,15,107
1,0,0,3,14,101
1,0,0,2,14,94
0,0,0,1,14,102
0,0,1,32,14,101
0,0,0,1,14,105
0,0,0,5,14,100
0,0,0,2,13,110
0,0,0,8,13,96
1,0,0,5,13,106
0,0,0,7,13,103
1,0,0,3,14,101
0,0,0,0,14,100
0,0,0,0,14,92
0,1,0,0,14,99
0,1,0,5,15,107
1,1,0,9,15,106
1,1,0,11,15,103
1,1,0,2,13,96
1,1,0,4,13,88
1,1,0,7,15,105
1,1,0,5,15,95
1,1,1,18,12,93
0,1,0,3,10,104
0,1,0,2,10,100
